Country,Commodity,Port,Warehouse,Camp,Optimized Quantity (tons),Total Cost,Total Cost ($)
UKRAINE,SPLIT PEAS,DJIBOUTI (DJIBOUTI),<NAZARETH>,BOKLOMAYO,0.03140384729333608,584.6854718,18.36137327103936
UKRAINE,SPLIT PEAS,DJIBOUTI (DJIBOUTI),<NAZARETH>,SHERKOLE,0.020211732552619953,588.5307158,11.895225426751583
UKRAINE,WHEAT,DJIBOUTI (DJIBOUTI),<MEKELE>,BERHALE,0.024643639535448923,437.6766965,10.78594674161208
UKRAINE,SPLIT PEAS,DJIBOUTI (DJIBOUTI),<NAZARETH>,TONGO,0.01613986665413869,593.1608115,9.573536402070696
UKRAINE,SPLIT PEAS,DJIBOUTI (DJIBOUTI),<NAZARETH>,KOBE,0.016092903761014292,593.1517526,9.54553407026876
UKRAINE,SPLIT PEAS,DJIBOUTI (DJIBOUTI),<NAZARETH>,DILLO,0.016016726516918895,595.102432,9.531592902897325
HUNGARY,WHEAT,DJIBOUTI (DJIBOUTI),<KOMBOLCHA>,Amhara,0.018094528011419052,475.31704,8.60063749458479
UKRAINE,SPLIT PEAS,DJIBOUTI (DJIBOUTI),<NAZARETH>,HALEWEYIN,0.012862822899764908,597.5128497,7.685701966024947
UKRAINE,SPLIT PEAS,DJIBOUTI (DJIBOUTI),<NAZARETH>,OKUGO,0.010919218353207092,601.0088235,6.562546576000601
UKRAINE,SPLIT PEAS,DJIBOUTI (DJIBOUTI),<NAZARETH>,MELKEDIDA,0.010108673579872442,603.4305649,6.099882608692133
INDIA,SORGHUM/MILLET,DJIBOUTI (DJIBOUTI),<NAZARETH>,SNNPR,0.012242211770804088,402.9277253,4.932726541450976
