Commodity,Country,Procurement Price,Port,SeaTransport Price,Warehouse,Port to Warehouse Price,Camp,Warehouse to Camp Price,Port Handling Cost,Warehouse Handling Cost,Total Cost
RICE,AUSTRALIA,931.511883,MOMBASA (KENYA),149,<NAZARETH>,308.468,Tigray,29.34096585,30,11.71432,1460.035169
RICE,AUSTRALIA,931.511883,MOMBASA (KENYA),149,<NAZARETH>,308.468,BOKLOMAYO,59.23980876,30,11.71432,1489.934012
RICE,AUSTRALIA,931.511883,MOMBASA (KENYA),149,<NAZARETH>,308.468,MELKEDIDA,77.98490186,30,11.71432,1508.679105
RICE,AUSTRALIA,931.511883,MOMBASA (KENYA),149,<NAZARETH>,308.468,KOBE,67.70608958,30,11.71432,1498.400293
RICE,AUSTRALIA,931.511883,MOMBASA (KENYA),149,<NAZARETH>,308.468,HALEWEYIN,72.06718671,30,11.71432,1502.76139
RICE,AUSTRALIA,931.511883,MOMBASA (KENYA),149,<NAZARETH>,308.468,BURAMINO,90.93658782,30,11.71432,1521.630791
RICE,AUSTRALIA,931.511883,MOMBASA (KENYA),149,<NAZARETH>,308.468,TONGO,67.71514847,30,11.71432,1498.409351
RICE,AUSTRALIA,931.511883,MOMBASA (KENYA),149,<NAZARETH>,308.468,BAMBASI,59.24509311,30,11.71432,1489.939296
RICE,AUSTRALIA,931.511883,MOMBASA (KENYA),149,<NAZARETH>,308.468,SHERKOLE,63.08505284,30,11.71432,1493.779256
RICE,AUSTRALIA,931.511883,MOMBASA (KENYA),149,<NAZARETH>,308.468,PUGNIDO,77.09486663,30,11.71432,1507.78907
RICE,AUSTRALIA,931.511883,MOMBASA (KENYA),149,<NAZARETH>,308.468,JEWII,96.28183191,30,11.71432,1526.976035
RICE,AUSTRALIA,931.511883,MOMBASA (KENYA),149,<NAZARETH>,308.468,KULE,80.75188727,30,11.71432,1511.44609
RICE,AUSTRALIA,931.511883,MOMBASA (KENYA),149,<NAZARETH>,308.468,TERKIEDI,91.10266734,30,11.71432,1521.79687
RICE,AUSTRALIA,931.511883,MOMBASA (KENYA),149,<NAZARETH>,308.468,OKUGO,75.56316054,30,11.71432,1506.257364
RICE,AUSTRALIA,931.511883,MOMBASA (KENYA),149,<NAZARETH>,308.468,AYSAITA,17.59436336,30,11.71432,1448.288566
RICE,AUSTRALIA,931.511883,MOMBASA (KENYA),149,<NAZARETH>,308.468,DILLO,69.656769,30,11.71432,1500.350972
RICE,AUSTRALIA,931.511883,MOMBASA (KENYA),149,<NAZARETH>,308.468,MEGADO,85.92954202,30,11.71432,1516.623745
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<JIJIGA>,78.8181,Somali,75.01248242,23.45,13.77048,1417.562945
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<JIJIGA>,78.8181,KEBRIBAYA,9.293608455,23.45,13.77048,1351.844071
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<JIJIGA>,78.8181,AW-BARRE,30.97986915,23.45,13.77048,1373.530332
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<JIJIGA>,78.8181,SHEDER,12.55319577,23.45,13.77048,1355.103659
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<MEKELE>,74.45076,Afar,27.125,23.45,16.5796,1368.117243
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<MEKELE>,74.45076,Tigray,50.3095,23.45,16.5796,1391.301743
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<MEKELE>,74.45076,SHIMELBA,36.54846502,23.45,16.5796,1377.540708
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<MEKELE>,74.45076,ADI-HARUSH,36.26195269,23.45,16.5796,1377.254196
